date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:03:36	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2031%20May%202023%2016:33:34%20GMT	http://rustomjeelavie-thane.in/robots.txt		(from )
22:03:38	63878/63878	---M-Z	200	added ('OK')	text/html	etag:%22a66a64807985d91:0%22	http://rustomjeelavie-thane.in/?gclid=EAIaIQobChMIyN3G9_2f_wIVfc0WBR1xWwGBEAAYASAAEgKrgvD_BwE	C:/Users/Admin/Desktop/new1/real%20estate/rustomjeelavie-thane.in/indexb50a.html	(from )
22:03:39	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%22a8f899c95282d91:0%22	http://rustomjeelavie-thane.in/favicon.ico	C:/Users/Admin/Desktop/new1/real%20estate/rustomjeelavie-thane.in/favicon.ico	(from http://rustomjeelavie-thane.in/?gclid=EAIaIQobChMIyN3G9_2f_wIVfc0WBR1xWwGBEAAYASAAEgKrgvD_BwE)
22:03:41	42437/42437	---M-Z	200	added ('OK')	text/css	etag:%22948cbc385382d91:0%22	http://rustomjeelavie-thane.in/css/custom.css	C:/Users/Admin/Desktop/new1/real%20estate/rustomjeelavie-thane.in/css/custom.css	(from http://rustomjeelavie-thane.in/?gclid=EAIaIQobChMIyN3G9_2f_wIVfc0WBR1xWwGBEAAYASAAEgKrgvD_BwE)
22:03:43	7300/7300	---M-Z	200	added ('OK')	text/css	etag:%224deb3d395382d91:0%22	http://rustomjeelavie-thane.in/css/magnific-popup.css	C:/Users/Admin/Desktop/new1/real%20estate/rustomjeelavie-thane.in/css/magnific-popup.css	(from http://rustomjeelavie-thane.in/?gclid=EAIaIQobChMIyN3G9_2f_wIVfc0WBR1xWwGBEAAYASAAEgKrgvD_BwE)
22:03:43	155758/155758	---MCZ	200	added ('OK')	text/css	etag:%228524c3a5382d91:0%22	http://rustomjeelavie-thane.in/css/bootstrap.min.css	C:/Users/Admin/Desktop/new1/real%20estate/rustomjeelavie-thane.in/css/bootstrap.min.css	(from http://rustomjeelavie-thane.in/?gclid=EAIaIQobChMIyN3G9_2f_wIVfc0WBR1xWwGBEAAYASAAEgKrgvD_BwE)
22:03:44	5096/5096	---M--	200	added ('OK')	image/png	etag:%22b432eed25282d91:0%22	http://rustomjeelavie-thane.in/img/developer_logo.png	C:/Users/Admin/Desktop/new1/real%20estate/rustomjeelavie-thane.in/img/developer_logo.png	(from http://rustomjeelavie-thane.in/?gclid=EAIaIQobChMIyN3G9_2f_wIVfc0WBR1xWwGBEAAYASAAEgKrgvD_BwE)
22:04:25	237064/237064	---M--	200	added ('OK')	image/jpeg	etag:%22822061e5382d91:0%22	http://rustomjeelavie-thane.in/img/banners/banner-2-m.jpg	C:/Users/Admin/Desktop/new1/real%20estate/rustomjeelavie-thane.in/img/banners/banner-2-m.jpg	(from http://rustomjeelavie-thane.in/?gclid=EAIaIQobChMIyN3G9_2f_wIVfc0WBR1xWwGBEAAYASAAEgKrgvD_BwE)
22:04:30	284633/284633	---M--	200	added ('OK')	image/jpeg	etag:%224ad8aae5382d91:0%22	http://rustomjeelavie-thane.in/img/banners/banner-1-m.jpg	C:/Users/Admin/Desktop/new1/real%20estate/rustomjeelavie-thane.in/img/banners/banner-1-m.jpg	(from http://rustomjeelavie-thane.in/?gclid=EAIaIQobChMIyN3G9_2f_wIVfc0WBR1xWwGBEAAYASAAEgKrgvD_BwE)
22:05:03	196732/196732	---M--	200	added ('OK')	image/jpeg	etag:%229710ad105382d91:0%22	http://rustomjeelavie-thane.in/img/banners/banner-3-m.jpg	C:/Users/Admin/Desktop/new1/real%20estate/rustomjeelavie-thane.in/img/banners/banner-3-m.jpg	(from http://rustomjeelavie-thane.in/?gclid=EAIaIQobChMIyN3G9_2f_wIVfc0WBR1xWwGBEAAYASAAEgKrgvD_BwE)
22:05:04	2692/2692	---M--	200	added ('OK')	image/png	etag:%225c8b19105382d91:0%22	http://rustomjeelavie-thane.in/img/d-arrow.png	C:/Users/Admin/Desktop/new1/real%20estate/rustomjeelavie-thane.in/img/d-arrow.png	(from http://rustomjeelavie-thane.in/?gclid=EAIaIQobChMIyN3G9_2f_wIVfc0WBR1xWwGBEAAYASAAEgKrgvD_BwE)
